"","df09.instnm","df09.inexpfte","df09.tuitfte","df10.instnm","df10.inexpfte","df10.tuitfte","df11.instnm","df11.inexpfte","df11.tuitfte","df12.instnm","df12.inexpfte","df12.tuitfte","df13.instnm","df13.inexpfte","df13.tuitfte","df14.instnm","df14.inexpfte","df14.tuitfte"
"62","Dine College",9532,157,"Dine College",9532,157,"Dine College",9532,157,"Dine College",9532,157,"Dine College",9532,157,"Dine College",9532,157
"63","Empire Beauty School-Flagstaff",6584,8056,"Empire Beauty School-Flagstaff",6584,8056,"Empire Beauty School-Flagstaff",6584,8056,"Empire Beauty School-Flagstaff",6584,8056,"Empire Beauty School-Flagstaff",6584,8056,"Empire Beauty School-Flagstaff",6584,8056
"64","Ottawa University-Phoenix",1771,6371,"Ottawa University-Phoenix",1771,6371,"Ottawa University-Phoenix",1771,6371,"Ottawa University-Phoenix",1771,6371,"Ottawa University-Phoenix",1771,6371,"Ottawa University-Phoenix",1771,6371
"65","All Beauty College",4924,10205,"All Beauty College",4924,10205,"All Beauty College",4924,10205,"All Beauty College",4924,10205,"All Beauty College",4924,10205,"All Beauty College",4924,10205
"66","Regency Beauty Institute-North Tucson",6226,9502,"Regency Beauty Institute-North Tucson",6226,9502,"Regency Beauty Institute-North Tucson",6226,9502,"Regency Beauty Institute-North Tucson",6226,9502,"Regency Beauty Institute-North Tucson",6226,9502,"Regency Beauty Institute-North Tucson",6226,9502
"67","ITT Technical Institute-Phoenix West",1636,15646,"ITT Technical Institute-Phoenix West",1636,15646,"ITT Technical Institute-Phoenix West",1636,15646,"ITT Technical Institute-Phoenix West",1636,15646,"ITT Technical Institute-Phoenix West",1636,15646,"ITT Technical Institute-Phoenix West",1636,15646
"68","Arizona State University-Skysong",9752,12563,"Arizona State University-Skysong",9752,12563,"Arizona State University-Skysong",9752,12563,"Arizona State University-Skysong",9752,12563,"Arizona State University-Skysong",9752,12563,"Arizona State University-Skysong",9752,12563
"69","Chamberlain College of Nursing-Arizona",5111,18538,"Chamberlain College of Nursing-Arizona",5111,18538,"Chamberlain College of Nursing-Arizona",5111,18538,"Chamberlain College of Nursing-Arizona",5111,18538,"Chamberlain College of Nursing-Arizona",5111,18538,"Chamberlain College of Nursing-Arizona",5111,18538
"70","Turning Point Beauty College",8599,11716,"Turning Point Beauty College",8599,11716,"Turning Point Beauty College",8599,11716,"Turning Point Beauty College",8599,11716,"Turning Point Beauty College",8599,11716,"Turning Point Beauty College",8599,11716
"71","Empire Beauty School-Prescott",6579,8053,"Empire Beauty School-Prescott",6579,8053,"Empire Beauty School-Prescott",6579,8053,"Empire Beauty School-Prescott",6579,8053,"Empire Beauty School-Prescott",6579,8053,"Empire Beauty School-Prescott",6579,8053
